"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Falha de asserção","1","0","0","0","0"
"Locator / elemento","0","2","0","0","0"
"Rede / navegação","0","2","0","0","0"
"Timeout / espera","0","2","0","0","0"
"Outros","0","2","0","0","0"
