"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Busca no Blog","Busca no Blog do Agi","Busca sem resultados","0","0","1","0","0"
"Regressão","Templates e navegação","Paginação","0","0","1","0","0"
"Layout","Responsividade","Viewport","0","0","7","0","0"
"Busca no Blog","Busca no Blog do Agi","Busca por termo existente","0","0","1","0","0"
"Smoke","Sanidade","Home","0","0","1","0","0"
"Regressão","Templates e navegação","Post único","0","0","1","0","0"
"Regressão","Templates e navegação","Arquivo de categoria","0","0","1","0","0"
"Regressão","Templates e navegação","Web Stories","0","0","1","0","0"
"Regressão","Templates e navegação","Erro 404","0","0","1","0","0"
