"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Timeout / Espera","0","2","0","0","0"
"Elemento / Locator","0","2","0","0","0"
"Erro Nao Classificado","0","2","0","0","0"
"Navegacao / Rede","0","2","0","0","0"
