"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Layout","Responsividade","Viewport","0","0","7","0","0"
"Busca no Blog","Busca no Blog do Agi","Busca por termo existente","0","0","1","0","0"
