"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Busca no Blog","Busca no Blog do Agi","Busca sem resultados","0","1","0","0","0"
"Busca no Blog","Busca no Blog do Agi","Busca por termo existente","0","1","0","0","0"
